id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
668382358178388338,luxury modern condo steps to subway station!,188573859,Mush,,Newtonbrook West,43.782623973669224,-79.41696614027023,Entire home/apt,,365,3,2022-09-22,0.12,1,364,0,STR-2207-GGYKVF
668404862936631938,Nina’s palace,468799398,Majid,,Bathurst Manor,43.7623706,-79.4633741,Entire home/apt,,28,0,,,1,270,0,
668685915762500129,Lovely 2 bedroom condo at Yonge and sheppard,207164078,Laureta,,Willowdale East,43.7654,-79.40939,Entire home/apt,,28,13,2023-08-15,0.51,1,0,0,STR-2208-FFSPHB
668715179191555918,The Rosey beach home,35039986,Rosie,,The Beaches,43.66682,-79.29892,Entire home/apt,453,3,41,2024-08-18,1.59,1,111,12,STR-2205-GRPXVG
668852208222502937,Fully-Equipped 1-BR Condo in DT Toronto,785826,Sky View,,Waterfront Communities-The Island,43.64804,-79.38752,Entire home/apt,189,28,1,2024-06-29,0.43,101,205,1,
668999526420471272,Beautiful downtown waterside condo,18839407,Nicholas,,Waterfront Communities-The Island,43.64446,-79.36295,Entire home/apt,,28,54,2024-03-24,2.07,1,0,20,STR-2206-FSPXVC
669064838769581640,Lovely 3 bedroom 2 bathroom Downtown Toronto condo,468986467,Andrea,,Waterfront Communities-The Island,43.64021521411236,-79.39708857206872,Entire home/apt,453,1,31,2024-08-10,1.20,4,26,11,STR-2207-GQJBHG
669412553938750014,Beautiful shared 2 bdrm upper-loft style apartment,174289558,William,,Bay Street Corridor,43.6653399,-79.3849188,Private room,157,1,52,2024-09-01,2.11,1,13,13,STR-2207-HHCBHJ
669464667990549357,Lakeview Condo in Lakeshore Toronto + Free Parking,83537535,Olawale,,Mimico (includes Humber Bay Shores),43.62470448821787,-79.49008720182417,Entire home/apt,166,3,17,2024-08-28,1.16,1,77,13,STR-2302-HWCKVY
675291915659077575,Spacious 3-Bedroom Loft in Leslieville,462897680,Antonio,,South Riverdale,43.659208,-79.3479066,Entire home/apt,456,2,81,2024-09-01,3.18,1,52,36,STR-2206-HVKDVL
675308462168749985,"Trendy 2B, Minutes to Downtown Toronto,By the Lake",25523611,Vijay,,Mimico (includes Humber Bay Shores),43.6184205,-79.49065569999999,Entire home/apt,210,28,12,2024-05-31,0.49,4,356,3,STR-2210-HSRKVL
675326125922347527,Lovely 1 BR suite in the heart of downtown Toronto,470603451,Afeez,,Waterfront Communities-The Island,43.64218,-79.39944,Entire home/apt,150,28,48,2024-07-24,1.89,1,275,12,STR-2301-FJWHHP
675375309902837167,Private One Bedroom Apartment,136625551,Olivia,,Brookhaven-Amesbury,43.71006234060624,-79.47213130700385,Entire home/apt,195,30,4,2022-09-19,0.16,1,362,0,STR-2208-GBXHHD
675439925024243371,Quiet and new 1 bedroom private bath Chinatown,408591534,Di,,Kensington-Chinatown,43.65204,-79.39559,Private room,133,28,6,2023-12-22,0.32,23,340,1,
675857350529579224,Private Clean Bedroom in Downtown Toronto,470730081,Arunabahen,,Weston-Pellam Park,43.67152101554135,-79.46300702134872,Private room,75,1,75,2024-06-01,2.94,2,174,17,STR-2206-JDVXVM
675884687344985750,Lovely 1- Bed Room Condo (shared) with Patio,90983258,Shakil,,Henry Farm,43.77485,-79.34258,Private room,,28,7,2023-01-12,0.29,1,0,0,STR-2207-FKQBHB
675931092759242044,"Cozy 2B,A+Location,Mins to DownTown TO,By the Lake",25523611,Vijay,,Mimico (includes Humber Bay Shores),43.61865,-79.49176,Entire home/apt,219,28,15,2024-05-31,0.60,4,331,2,STR-2210-HSRKVL
675978048146970259,Lovely 1 bedroom with an amazing patio view,67829503,Anesti,,Dufferin Grove,43.65802,-79.429,Entire home/apt,100,28,1,2022-08-28,0.04,1,130,0,
676035035184056390,Vintage 2 bed 2 bath suite Distillery District,470785789,Muhammad,,Regent Park,43.6566,-79.36453,Entire home/apt,225,2,78,2024-09-02,3.16,3,333,31,STR-2206-GJZRVF
676035460858451556,Condo in Toronto,81322712,Sabrina,,Henry Farm,43.77462,-79.3461,Entire home/apt,,28,6,2022-10-12,0.24,1,0,0,STR-2207-FFGVHB
676148999483667663,2-2)Spacious NorthYork Private Room great location,469138496,Yong Hee,,Newtonbrook East,43.79130869999999,-79.3966641,Private room,50,1,97,2024-09-01,3.76,4,337,43,STR-2207-HJFKVJ
676189825613559287,Private cozy 1 bedroom in the heart of Toronto,19149020,Arber,,Rustic,43.70501,-79.49833,Entire home/apt,190,2,21,2024-08-18,0.82,1,357,5,STR-2205-JFTPHM
676203249973684689,"Modern, basement apartment, close to airport",12698023,Ivan,,Pelmo Park-Humberlea,43.73193,-79.53389,Private room,100,1,83,2024-08-27,3.30,1,317,38,STR-2201-HMSDVK
676259177046990729,Gorgeous unit for 4 at the top of Toronto!,263026625,Katy,,Willowdale West,43.77243,-79.42695,Private room,250,28,4,2022-10-19,0.16,1,127,0,STR-2207-GRQBHG
676266553998900162,Private Suite with Self Check-in & Free Parking,470848796,You Fang,,Pleasant View,43.78272,-79.33064,Private room,125,2,36,2024-08-04,1.41,1,169,6,STR-2206-HGFKVJ
676274066047994181,Welcome to The Yorkville Chalet!,125762045,Mabel,,Annex,43.67037196774463,-79.3944013863802,Entire home/apt,,3,33,2023-10-17,1.30,1,1,4,STR-2206-FFKDVB
676477015047503267,A cozy room in the center of Toronto,260869792,Anil,,Kensington-Chinatown,43.65501,-79.39957,Private room,,28,36,2023-12-29,1.39,1,53,6,STR-2207-HCKHHJ
676626679685188651,Cozy 2+ 1 Bedroom Home in Leslieville,535406,Hailey,,South Riverdale,43.66903,-79.3288,Entire home/apt,494,5,5,2024-08-25,0.26,1,66,4,STR-2207-FLFPHB
676740355400020829,Amazing 2 bedrooms w/parking downtown Toronto,387540302,Baptiste,,Waterfront Communities-The Island,43.63901,-79.39905,Entire home/apt,360,2,44,2024-08-19,1.77,1,7,17,STR-2207-JBCBHM
676741482393587280,Entire High Rise luxury Condo w Free PaRkInG,105866140,Mark,,Annex,43.6717863,-79.3875929,Private room,243,28,3,2022-10-02,0.12,1,90,0,STR-2206-HYLKVL
676756822092119507,"Modern 2BR+2BA w Free Parking + Balcony, CN Tower",388195205,Jagdev,,Waterfront Communities-The Island,43.64318,-79.38242,Entire home/apt,123,28,36,2024-07-09,1.49,1,175,16,STR-2303-JFHHHZ
676784532842589561,Entire 1 BR Lakeview Unit across CN Tower/MTCC,470967614,Jung-Hua,,Waterfront Communities-The Island,43.643,-79.38942,Entire home/apt,300,28,63,2024-06-01,2.48,1,186,1,STR-2206-GDBXVF
676795224584627535,SPECTACULAR SUITE IN HUMBER BAY SHORES TORONTO!,132205262,Ihab,,Mimico (includes Humber Bay Shores),43.62506,-79.47772,Entire home/apt,193,2,128,2024-09-02,4.98,4,68,49,STR-2207-JDZRVM
676796628067241521,Modern Victorian backing on Trinity Bellwoods park,264820987,Kerry,,Trinity-Bellwoods,43.64877,-79.41577,Entire home/apt,900,5,3,2023-09-12,0.12,1,131,1,STR-2204-HDVVHJ
676818170234124941,SUB PENTHOUSE MILLION$ VIEW FOR DISCERNING GUESTS,470979423,Allia,,Waterfront Communities-The Island,43.64637,-79.39373,Entire home/apt,343,2,69,2024-08-20,3.09,1,22,21,STR-2207-HYXHHM
676834502148088019,Entire 2 BR Lakeview Unit across CN Tower/MTCC,470984623,Wei-Che,,Waterfront Communities-The Island,43.64323,-79.39049,Entire home/apt,320,28,68,2024-04-07,2.64,1,244,1,STR-2206-FKFKVB
676842709390797597,Luxury 2 Bedroom KING Bed Condo w/Parking Toronto,50661134,Aleksei,,Waterfront Communities-The Island,43.6397827,-79.39794669999999,Entire home/apt,389,2,75,2024-07-31,2.97,1,93,18,STR-2207-GZHXVH
676853927616362396,"Cozy, simplistic bedroom close to Rogers centre",253954932,Daniel,,Waterfront Communities-The Island,43.641295,-79.4000147,Private room,199,28,5,2022-08-27,0.19,7,180,0,STR-2207-FWGRVD
676859970728991338,"Private den, with single bed in the heart of TO",253954932,Daniel,,Waterfront Communities-The Island,43.6413213,-79.4001128,Shared room,61,28,7,2023-07-31,0.28,7,90,0,STR-2207-FWGRVD
676878523513670395,Spacious Private Room + Underground Parking,470996190,Carmeta,,Tam O'Shanter-Sullivan,43.78121382904716,-79.29754613367825,Private room,,28,2,2023-05-31,0.08,2,365,0,
676966926174832956,"Spacious spotless, private 2BD Basement apartment",347790215,Kayla,,Humewood-Cedarvale,43.6847,-79.4251,Entire home/apt,120,28,16,2022-12-31,0.63,1,253,0,STR-2110-GQTHHG
677125115838000111,Lovely condo w Pool & Downtown view,427592850,Diana,,Thorncliffe Park,43.71443957032797,-79.35227427631617,Entire home/apt,131,28,11,2024-07-30,0.45,1,126,6,
677381767702910810,Adorable 2-bedroom place with parking available,118463762,Alyssia,,West Humber-Clairville,43.72557,-79.5833,Entire home/apt,,365,33,2023-08-28,1.34,1,13,0,STR-2207-HDLKVJ
677383923001814833,"Cheerful bedroom (shared bath), close to YYZ",22937529,Mai Thao,,Willowridge-Martingrove-Richview,43.6803795,-79.5613769,Private room,62,28,2,2022-10-09,0.08,20,365,0,
677383998044419978,Large bedroom in a bright house (shared bathroom),22937529,Mai Thao,,Willowridge-Martingrove-Richview,43.68021,-79.56321,Private room,69,28,2,2023-04-01,0.09,20,365,0,
677384146643667167,Gorgeous private bedroom in a spacious house,22937529,Mai Thao,,Eringate-Centennial-West Deane,43.65847,-79.56538,Private room,62,28,3,2023-11-17,0.14,20,89,2,STR-2309-HYZKVZ
677414852595280802,284B1 Large bedroom in little Italy,354779562,Kaiyan,,Trinity-Bellwoods,43.65449,-79.4076,Private room,,30,7,2024-08-14,0.34,20,3,4,
677495410398941497,Downtown 2 Bedroom loft with free parking,471126170,Kam Fai,,Moss Park,43.65592,-79.36752,Entire home/apt,262,2,49,2024-08-25,1.90,1,56,13,STR-2205-HJKDVK
